id,event_id,full_name,ttl,nik,email,password,status,payment_status,payment_account,created_at
1,1,Kaguya Shinomiya,2004-11-11,3301191111040003,kaguyasama@mail.com,00000000eac231ba,REJECTED,FAILED,Jepang - 123456,2025-05-31
2,1,Park Bo-young,1995-05-12,3301171205950001,boyoungshi@yahoo.com,00000000defdddab,APPROVED,VERIFIED,KR - 123312,2025-05-31
3,1,Husni Abdillah,2005-12-01,3301170112050001,husniabdillah@gmail.com,00000000bd545137,PENDING,UNVERIFIED,BCA - 11223344,2025-05-31
4,1,Yu Ishigami,2004-07-20,3301192007040006,yu@mail.com,00000000deadbeef,APPROVED,VERIFIED,Jepang - 223344,2025-05-31
5,1,Miko Iino,2005-05-05,3301190505050007,miko@mail.com,0000000012345678,PENDING,UNVERIFIED,Jepang - 334455,2025-05-31
6,1,Nagisa Kashiwagi,2003-08-22,3301192208030008,nagisa@mail.com,00000000cafebabe,APPROVED,VERIFIED,Jepang - 556677,2025-05-31
7,1,Tsubame Koyasu,2003-12-01,3301190112030009,tsubame@mail.com,00000000beefcafe,PENDING,UNVERIFIED,Jepang - 778899,2025-05-31
8,1,Karen Kino,2004-01-10,3301191001040010,karen@mail.com,00000000bada55ff,APPROVED,VERIFIED,Jepang - 990011,2025-05-31
9,1,Kei Shirogane,2006-04-18,3301191804060011,kei@mail.com,00000000feedface,PENDING,UNVERIFIED,Jepang - 121314,2025-05-31
10,1,Rei Onodera,2004-06-06,3301190606040012,rei@mail.com,00000000abcabcab,APPROVED,VERIFIED,Jepang - 151617,2025-05-31
11,1,Masaru Tanaka,2002-09-09,3301190909020013,masaru@mail.com,00000000c0ffeeee,PENDING,UNVERIFIED,Jepang - 181920,2025-05-31
12,1,Hana Sato,2004-10-21,3301192110040014,hana@mail.com,00000000facedead,APPROVED,VERIFIED,Jepang - 212223,2025-05-31
13,1,Yuki Aoyama,2003-03-03,3301190303030015,yuki@mail.com,00000000badf00d1,PENDING,UNVERIFIED,Jepang - 242526,2025-05-31
14,1,Haruto Yamada,2004-12-12,3301191212040016,haruto@mail.com,00000000deadbead,APPROVED,VERIFIED,Jepang - 272829,2025-05-31
15,1,Mei Takahashi,2005-07-17,3301191707050017,mei@mail.com,00000000decadeee,PENDING,UNVERIFIED,Jepang - 303132,2025-05-31
16,1,Souta Nakamura,2003-11-11,3301191111030018,souta@mail.com,00000000b16b00b5,APPROVED,VERIFIED,Jepang - 333435,2025-05-31
17,1,Ai Hayasaka,2004-04-04,3301190404040019,ai@mail.com,00000000babec0de,PENDING,UNVERIFIED,Jepang - 363738,2025-05-31
18,1,Riko Kobayashi,2003-06-06,3301190606030020,riko@mail.com,00000000fee1dead,APPROVED,VERIFIED,Jepang - 394041,2025-05-31
19,1,Hikaru Inoue,2002-08-08,3301190808020021,hikaru@mail.com,00000000defaced0,PENDING,UNVERIFIED,Jepang - 424344,2025-05-31
20,1,Ren Yamamoto,2003-10-10,3301191010030022,ren@mail.com,00000000cafe1234,APPROVED,VERIFIED,Jepang - 454647,2025-05-31
21,1,Aya Nishimura,2005-02-02,3301190202050023,aya@mail.com,00000000cafed00d,PENDING,UNVERIFIED,Jepang - 484950,2025-05-31
22,1,Kaito Fujimoto,2002-05-25,3301192505020024,kaito@mail.com,00000000d00df00d,APPROVED,VERIFIED,Jepang - 515253,2025-05-31
23,1,Yuna Taniguchi,2003-03-21,3301192103030025,yuna@mail.com,00000000abacabad,PENDING,UNVERIFIED,Jepang - 545556,2025-05-31
24,1,Riku Hoshino,2004-09-09,3301190909040026,riku@mail.com,00000000fadedbad,APPROVED,VERIFIED,Jepang - 575859,2025-05-31
25,1,Mai Fujii,2002-01-01,3301190101020027,mai@mail.com,00000000feebdaed,PENDING,UNVERIFIED,Jepang - 606162,2025-05-31
26,1,Shun Mori,2004-08-08,3301190808040028,shun@mail.com,00000000deadfade,APPROVED,VERIFIED,Jepang - 636465,2025-05-31
27,1,Nanami Sasaki,2005-06-06,3301190606050029,nanami@mail.com,00000000def00ba5,PENDING,UNVERIFIED,Jepang - 666768,2025-05-31
28,1,Hiroki Yamazaki,2003-07-07,3301190707030030,hiroki@mail.com,00000000beadfeed,APPROVED,VERIFIED,Jepang - 696970,2025-05-31
29,1,Emi Kuramoto,2002-10-10,3301191010020031,emi@mail.com,00000000fadecafe,PENDING,UNVERIFIED,Jepang - 717273,2025-05-31
30,1,Kenta Suzuki,2005-11-30,3301193011050032,kenta@mail.com,00000000f00df00d,APPROVED,VERIFIED,Jepang - 747576,2025-05-31
31,1,Saki Minagawa,2004-03-12,3301191203040033,saki@mail.com,00000000deadf00d,PENDING,UNVERIFIED,Jepang - 777879,2025-05-31
32,1,Kazuki Ishida,2003-01-25,3301192501030034,kazuki@mail.com,00000000cafefeed,APPROVED,VERIFIED,Jepang - 808182,2025-05-31
33,1,Naoki Ueno,2002-12-13,3301191312020035,naoki@mail.com,00000000beefbabe,PENDING,UNVERIFIED,Jepang - 838485,2025-05-31
34,1,Haruka Mori,2005-09-23,3301192309050036,haruka@mail.com,00000000ba5eba11,APPROVED,VERIFIED,Jepang - 868788,2025-05-31
35,1,Ayumu Nakano,2004-05-17,3301191705040037,ayumu@mail.com,00000000d15ea5ed,PENDING,UNVERIFIED,Jepang - 899091,2025-05-31
36,1,Mizuki Arai,2003-10-05,3301190510030038,mizuki@mail.com,00000000c001d00d,APPROVED,VERIFIED,Jepang - 929394,2025-05-31
37,1,Takumi Honda,2002-04-14,3301191404020039,takumi@mail.com,00000000deadcafe,PENDING,UNVERIFIED,Jepang - 959697,2025-05-31
38,1,Hinata Kojima,2005-08-28,3301192808050040,hinata@mail.com,00000000feedbabe,APPROVED,VERIFIED,Jepang - 989900,2025-05-31
39,1,Aoi Yamashita,2004-02-19,3301191902040041,aoi@mail.com,00000000dead2020,PENDING,UNVERIFIED,Jepang - 101112,2025-05-31
40,1,Yuto Kuroda,2003-06-03,3301190306030042,yuto@mail.com,00000000cafebeef,APPROVED,VERIFIED,Jepang - 131415,2025-05-31
41,1,Sora Inoue,2002-07-07,3301190707020043,sora@mail.com,00000000beefbeef,PENDING,UNVERIFIED,Jepang - 161718,2025-05-31
42,1,Hikari Fujimoto,2004-01-30,3301193001040044,hikari@mail.com,00000000badc0ffe,APPROVED,VERIFIED,Jepang - 192021,2025-05-31
43,1,Ren Nakagawa,2003-03-15,3301191503030045,ren.n@mail.com,00000000cafeaffe,PENDING,UNVERIFIED,Jepang - 222324,2025-05-31
44,1,Asuka Tanabe,2005-10-10,3301191010050046,asuka@mail.com,00000000abcdef12,APPROVED,VERIFIED,Jepang - 252627,2025-05-31
45,1,Rina Ogawa,2004-06-09,3301190906040047,rina@mail.com,00000000feedc0de,PENDING,UNVERIFIED,Jepang - 282930,2025-05-31
46,1,Daiki Matsuda,2002-02-02,3301190202020048,daiki@mail.com,00000000deafbead,APPROVED,VERIFIED,Jepang - 313233,2025-05-31
47,1,Natsuki Yamada,2003-11-25,3301192511030049,natsuki@mail.com,00000000beadcafe,PENDING,UNVERIFIED,Jepang - 343536,2025-05-31
48,1,Makoto Nishida,2004-09-01,3301190109040050,makoto@mail.com,00000000f00dfeed,APPROVED,VERIFIED,Jepang - 373839,2025-05-31
49,1,Shiori Kondo,2005-07-22,3301192207050051,shiori@mail.com,00000000badbad00,PENDING,UNVERIFIED,Jepang - 404142,2025-05-31
50,1,Yuma Sasaki,2002-12-31,3301193112020052,yuma@mail.com,00000000d0d0d0d0,APPROVED,VERIFIED,Jepang - 434445,2025-05-31
